"","req","item_req","texto_req","grupo_mercadoria","nm","valor_estimado","oportunidade","item_oportunidade"
"1","0030076109",10,"Kit vedação p/válv.borboleta Euro Valve","40141616","000000000012133563",10672.2,"7003574004",8
"2","0030693325",10,"Bucha p/válv.emergência Gimpel","40141616","000000000010304643",13393.89,"7003685365",12
"3","4003011659",10,"Banco de Baterias BT-5265-E2P-004A","26111700A",NA,399000,"7003573760",1
"4","4003011659",20,"Banco de Baterias BT-5265-E2P-004B","26111700A",NA,399000,"7003573760",2
"5","4003011659",30,"Banco de Baterias BT-5265-E1P-002A","26111700A",NA,399000,"7003573760",3
"6","4003011659",40,"Banco de Baterias BT-5265-E1P-002B","26111700A",NA,399000,"7003573760",4
"7","4003011659",50,"Banco de Baterias BT-5265-E2P-001A","26111700A",NA,1197000,"7003573760",5
"8","4003011659",60,"Banco de Baterias BT-5265-E2P-001B","26111700A",NA,1197000,"7003573760",6
"9","0028741991",10,"Vv.controle on-off esfera NPS 2","40141609","000000000011616383",81060.96,"7003154001",17
"10","0028741991",20,"Vv.controle on-off esfera NPS 2","40141609","000000000011616383",111913.56,"7003571429",1
"11","0030466016",10,"Vv.controle esfera NPS 3/4 Cv16,9","40141609","000000000011289971",16276,NA,0
"12","0031100995",10,"Lumin. LED 100W 85-265Vca","39111501A","000000000012652962",419,"7003565935",6
"13","0030735760",10,"Transm.vazão ultrasôn. 0a12m/s","41112516","000000000012609136",74906,NA,0
"14","0031141238",10,"Transm.pressão dif. -5a5kgf/cm2","41112410","000000000012600309",50000,NA,0
"15","0031044732",10,"Detector chama","46191504","000000000010591016",15742.47,NA,0
"16","0031178983",10,"Detector chama p/forno/cald. UV 4-20mA","46191504","000000000011260461",52244.78,"7003567104",5
"17","0030480173",10,"Válv.múltipla 2vv. AI 316","40141600H","000000000012297287",54120.84,"7003552075",1
"18","0030855925",10,"Transm.nível displacer 0a27m Ø43 X 140mm","41111938","000000000012220288",80000,NA,0
"19","4003009686",10,"Carga resistiva 255kW 220V","39121000D","000000000012509809",236758.34,"7003552080",13
"20","4003009686",20,"Sonda esp. p/carreg.bateria Megger","26111704A","000000000012509587",6234.17,"7003536840",1
"21","4003009686",30,"Testador de baterias","26111719","000000000012506591",134132.52,NA,0
"22","4003009686",40,"Testador de baterias","26111719","000000000012506591",134132.52,NA,0
"23","4003013570",10,"Transm.pressão man. 0a21000kPa","41112410","000000000012653554",10000,NA,0
"24","4003013570",20,"Detector hidrocarbonetos 0-100LEL","41113105","000000000012659467",60000,NA,0
"25","0031178750",10,"Cabo potência 15kV 1x 240mm² HEPR ST2","26121629","000000000011225505",137.93,"7003552093",8
"26","0030626431",10,"Pressostato dif. 650a2250psi","39121506","000000000010124802",5906.6,NA,0
"27","4002990808",10,"Elem.tp.cartucho p/glicol 3µm em f.de vi","40161807","000000000012310706",2500,NA,0
"28","4002990808",20,"Elem.tp.cartucho p/fluid.HW525 3µm em f.","40161807","000000000012012694",1811.37,NA,0
"29","4002990808",30,"Balão acumul. p/acumulador hidr.","27126102A","000000000012012010",10245,"7003240237",1
"30","4002990808",40,"Elem.tp.cartucho p/fluido hidrául./lubri","40161807","000000000012482671",550,"7003165472",13
"31","4002990808",50,"Elem.tp.cartucho p/fluid.HW525 3µm em f.","40161807","000000000012189868",5063.85,NA,0
"32","4002990808",60,"Regulador pressão pré-calibrada","40142201","000000000012226752",3183.07,NA,0
"33","4002990808",70,"Válvula alívio 3/8x 3/8"" AISI-316","40141606","000000000011788198",6.3,NA,0
"34","4002990808",80,"Balão acumul. p/acumulador hidr.","27126102A","000000000012380587",2631.75,"7003441539",10
"35","4002990808",90,"Regulador pressão pré-calibrada","40142201","000000000012226752",13121.35,NA,0
"36","4002990808",100,"Regulador pressão pré-calibrada","40142201","000000000012226752",13121.35,NA,0
"37","0028937786",10,"Válv.esf. F/S 1"" 2500# FJA A105/A216WCB","40141607","000000000011914976",10551.96,"7003554606",1
"38","0030093531",10,"Válv.esf. F/S 1 1/2"" 1500# FJA A105/A216","40141607","000000000011534277",9435.03,"7003554606",2
"39","0030655841",10,"Válvula macho n/lub 150 FLG FR A216-WCB","40141626","000000000012588905",35000,NA,0
"40","0031331198",10,"Lumin. LED 36W 100-240Vca Ex nA","39111501A","000000000012234796",1308.22,"7003661114",4
"41","0030925835",10,"Válv. regul. pressão DN1/2"" Cv1,95","41112404","000000000012653017",33444.49,"7003662871",3
"42","0031371940",10,"Bateria acumuladores ácida 126V 125Ah","26111700A","000000000010726296",53130.32,"7003662388",4
